id,px,py,pz,length
269,17.621,16.946,-7.732,1.216
270,18.421,16.946,-7.735,1.245
271,19.221,16.946,-7.749,1.294
272,20.021,16.946,-7.768,1.313
273,20.821,16.946,-7.808,1.387
274,21.621,16.946,-7.731,1.356
275,22.421,16.946,-7.716,1.389
276,23.221,16.946,-7.727,1.439
277,24.021,16.946,-7.785,1.457
278,24.821,16.946,-7.783,1.196
279,25.621,16.946,-7.813,0.956
280,26.421,16.946,-7.821,1.036
281,27.221,16.946,-7.822,1.354
282,28.021,16.946,-7.846,1.616
283,28.821,16.946,-7.883,1.683
284,29.621,16.946,-7.915,1.665
285,30.421,16.946,-7.947,1.605
286,31.221,16.946,-7.977,1.478
287,32.021,16.946,-8.002,1.286
288,32.821,16.946,-8.026,1.059
289,33.621,16.946,-8.039,0.868
290,34.421,16.946,-8.031,0.815
291,35.221,16.946,-8.005,0.920
292,36.021,16.946,-7.978,1.086
293,36.821,16.946,-7.977,1.117
294,37.621,16.946,-8.014,1.011
295,38.421,16.946,-8.076,0.900
296,39.221,16.946,-8.133,0.836
297,40.021,16.946,-8.173,0.753
298,40.821,16.946,-8.200,0.408
299,47.221,16.946,-8.216,0.429
300,48.021,16.946,-8.255,0.927
301,48.821,16.946,-8.284,1.381
302,49.621,16.946,-8.293,1.670
303,50.421,16.946,-8.290,1.650
304,51.221,16.946,-8.285,1.529
305,52.021,16.946,-8.287,1.449
306,52.821,16.946,-8.295,1.423
307,53.621,16.946,-8.305,1.298
308,54.421,16.946,-8.307,0.971
309,55.221,16.946,-8.306,0.820
310,56.021,16.946,-8.297,0.793
311,56.821,16.946,-8.277,0.725
312,57.621,16.946,-8.215,0.575
313,58.421,16.946,-8.071,0.336
314,59.221,16.946,-8.044,0.343
315,60.021,16.946,-8.140,0.617
316,60.821,16.946,-8.203,0.826
317,61.621,16.946,-8.220,0.927
318,62.421,16.946,-8.219,1.015
319,63.221,16.946,-8.201,1.096
320,64.021,16.946,-8.165,1.062
321,64.821,16.946,-8.134,0.872
322,65.621,16.946,-8.157,0.685
323,68.821,16.946,-8.230,0.528
324,69.621,16.946,-8.219,0.495
325,70.421,16.946,-8.208,0.394
326,-0.379,17.746,-7.694,0.362
327,0.421,17.746,-7.811,0.464
328,1.221,17.746,-7.868,0.510
329,2.021,17.746,-7.888,0.520
330,2.821,17.746,-7.890,0.522
331,3.621,17.746,-7.877,0.512
332,4.421,17.746,-7.860,0.498
333,5.221,17.746,-7.851,0.514
334,6.021,17.746,-7.851,0.565
335,6.821,17.746,-7.849,0.609
336,7.621,17.746,-7.820,0.663
337,9.221,17.746,-7.688,0.703
338,10.021,17.746,-7.654,0.778
339,10.821,17.746,-7.591,0.759
340,11.621,17.746,-7.438,0.525
341,12.421,17.746,-7.234,0.300
342,13.221,17.746,-7.215,0.300
343,14.021,17.746,-7.459,0.432
344,14.821,17.746,-7.651,0.764
345,15.621,17.746,-7.763,1.040
346,16.421,17.746,-7.800,1.233
347,17.221,17.746,-7.810,1.360
348,18.021,17.746,-7.838,1.452
349,18.821,17.746,-7.815,1.457
350,19.621,17.746,-7.870,1.526
351,20.421,17.746,-7.876,1.544
352,21.221,17.746,-7.895,1.577
353,22.021,17.746,-7.878,1.579
354,22.821,17.746,-7.781,1.501
355,23.621,17.746,-7.814,1.486
356,24.421,17.746,-7.859,1.322
357,25.221,17.746,-7.874,1.031
358,26.021,17.746,-7.891,0.917
359,26.821,17.746,-7.890,1.102
360,27.621,17.746,-7.878,1.384
361,28.421,17.746,-7.892,1.583
362,29.221,17.746,-7.925,1.690
363,30.021,17.746,-7.952,1.690
364,30.821,17.746,-7.971,1.619
365,31.621,17.746,-7.996,1.496
366,32.421,17.746,-8.031,1.323
